From Google Trends:
https://trends.google.com/trends/explore?date=all&geo=US&q=%2Fm%2F03_f0,%2Fm%2F04k15
Monthly web searches for bach and beethoven in the US
Category: All categories

Month,Johann Sebastian Bach: (United States),Ludwig van Beethoven: (United States)
2004-01,58,77
2004-02,65,85
2004-03,62,86
2004-04,58,84
2004-05,57,73
2004-06,41,55
2004-07,36,46
2004-08,35,47
2004-09,52,64
2004-10,59,80
2004-11,63,78
2004-12,54,85
2005-01,49,71
2005-02,56,79
2005-03,52,74
2005-04,50,81
2005-05,46,68
2005-06,38,47
2005-07,34,42
2005-08,30,38
2005-09,46,56
2005-10,49,72
2005-11,51,73
2005-12,47,70
2006-01,47,72
2006-02,44,64
2006-03,46,68
2006-04,45,64
2006-05,41,61
2006-06,28,37
2006-07,25,36
2006-08,28,34
2006-09,36,52
2006-10,45,60
2006-11,41,61
2006-12,41,59
2007-01,37,57
2007-02,41,54
2007-03,42,59
2007-04,36,55
2007-05,34,59
2007-06,27,42
2007-07,24,39
2007-08,25,38
2007-09,35,51
2007-10,40,58
2007-11,37,58
2007-12,36,54
2008-01,32,51
2008-02,37,55
2008-03,38,55
2008-04,36,56
2008-05,33,51
2008-06,25,43
2008-07,24,35
2008-08,24,34
2008-09,35,49
2008-10,36,56
2008-11,37,58
2008-12,36,58
2009-01,31,51
2009-02,37,51
2009-03,40,57
2009-04,38,55
2009-05,33,53
2009-06,27,38
2009-07,24,35
2009-08,28,36
2009-09,36,47
2009-10,39,52
2009-11,41,52
2009-12,36,52
2010-01,32,45
2010-02,35,48
2010-03,36,48
2010-04,33,51
2010-05,30,49
2010-06,25,36
2010-07,21,31
2010-08,23,31
2010-09,31,39
2010-10,33,48
2010-11,31,45
2010-12,29,46
2011-01,29,43
2011-02,31,46
2011-03,33,48
2011-04,31,44
2011-05,28,42
2011-06,22,33
2011-07,22,30
2011-08,21,30
2011-09,27,40
2011-10,29,43
2011-11,30,45
2011-12,28,45
2012-01,27,40
2012-02,29,42
2012-03,30,42
2012-04,27,42
2012-05,24,40
2012-06,19,31
2012-07,20,28
2012-08,20,29
2012-09,26,34
2012-10,30,38
2012-11,26,39
2012-12,26,39
2013-01,24,37
2013-02,27,40
2013-03,29,39
2013-04,26,39
2013-05,24,35
2013-06,19,28
2013-07,18,27
2013-08,20,27
2013-09,25,33
2013-10,29,40
2013-11,27,42
2013-12,25,38
2014-01,25,36
2014-02,26,39
2014-03,28,39
2014-04,25,38
2014-05,24,36
2014-06,19,30
2014-07,18,28
2014-08,19,34
2014-09,24,35
2014-10,27,41
2014-11,26,40
2014-12,25,44
2015-01,25,41
2015-02,26,42
2015-03,27,39
2015-04,23,37
2015-05,24,36
2015-06,19,28
2015-07,18,25
2015-08,19,26
2015-09,24,31
2015-10,26,37
2015-11,24,38
2015-12,24,100
2016-01,24,39
2016-02,26,40
2016-03,27,37
2016-04,24,36
2016-05,21,33
2016-06,18,27
2016-07,17,24
2016-08,18,26
2016-09,24,32
2016-10,25,34
2016-11,26,35
2016-12,24,34
2017-01,23,34
2017-02,24,37
